TotalReward,Episode,Steps,AvgSteps,AvgReward
69.94281086780225,1,8,,
59.96131699220407,2,7,,
39.9822405310713,3,5,,
39.95988192257034,4,5,,
79.94633046774835,5,9,,
9.98070752390779,6,2,,
149.95107328246186,7,16,,
29.983987535112263,8,4,,
49.95481321261916,9,6,,
109.949846234676,10,12,,
29.972646370689763,11,4,,
99.98517736453849,12,11,,
79.94418864035558,13,9,,
19.967309702567505,14,3,,
,15,1,,
49.97737686889022,16,6,,
69.96421519912262,17,8,,
29.972672116280933,18,4,,
69.9689918831813,19,8,,
79.96559691462294,20,9,,
119.97065001209926,21,13,,
29.969422558498657,22,4,,
59.954238711908786,23,7,,
109.9652813889626,24,12,,
19.966572165197405,25,3,,
19.97707801419561,26,3,,
189.92817313385626,27,20,,
59.97381139480483,28,7,,
39.97098365407827,29,5,,
29.986924094391142,30,4,,
29.954874381139042,31,4,,
49.97552723219612,32,6,,
109.96643487360546,33,12,,
9.985179778659864,34,2,,
39.97068331427034,35,5,,
39.98854848539068,36,5,,
9.983486337188785,37,2,,
19.98214807520842,38,3,,
39.9659322473029,39,5,,
29.97608214431014,40,4,,
39.98304985454338,41,5,,
9.986892068715234,42,2,,
39.97957008562331,43,5,,
119.90642724704516,44,13,,
39.97547871443113,45,5,,
69.96303805758427,46,8,,
159.9209846005695,47,17,,
49.98368591890113,48,6,,
29.972667316878386,49,4,,
19.98442810265418,50,3,,
49.96447252054184,51,6,,
19.9706088593596,52,3,,
39.97789697376453,53,5,,
9.986051687058803,54,2,,
69.9582219708953,55,8,,
109.95970822016093,56,12,,
69.96462068366294,57,8,,
29.954910899695705,58,4,,
59.984281134413195,59,7,,
79.97130096043611,60,9,,
29.9699958813869,61,4,,
79.94691371064474,62,9,,
39.97112497862528,63,5,,
29.990054195932196,64,4,,
9.982929187077982,65,2,,
109.86777488461087,66,12,,
219.83211786799544,67,23,,
69.92198245129102,68,8,,
69.9565483461936,69,8,,
69.97886052920398,70,8,,
9.985861662860257,71,2,,
29.98403191787221,72,4,,
249.87607774728878,73,26,,
269.8452705819134,74,28,,
49.95960946902595,75,6,,
29.95889989450373,76,4,,
139.91787823207358,77,15,,
69.9677320289798,78,8,,
9.981450696001792,79,2,,
29.97695018884243,80,4,,
79.97090378869835,81,9,,
49.96987437661799,82,6,,
59.938185542775216,83,7,,
19.989690776636202,84,3,,
9.987920099320206,85,2,,
109.95811141127356,86,12,,
69.90957760466952,87,8,,
49.96637148167757,88,6,,
49.95787799356123,89,6,,
39.9810504311337,90,5,,
39.96898780118783,91,5,,
69.97824442526057,92,8,,
69.96731662853517,93,8,,
19.970920486679386,94,3,,
29.973717407929357,95,4,,
59.980780566322714,96,7,,
29.964491590136767,97,4,,
49.97432437891131,98,6,,
,99,1,,
9.985973384426416,100,2,,
,,,6.89,58.863578961327
